Titolo,Musica,Testi,Libretto,Anno di debutto
"Hamilton","Lin-Manuel Miranda","Lin-Manuel Miranda","Lin-Manuel Miranda",2015
"Mean Girls","Jeff Richmond","Nell Benjamin","Tina Fey",2017
"Heathers: The Musical","Laurence O'Keefe & Kevin Murphy","Laurence O'Keefe & Kevin Murphy","Laurence O'Keefe & Kevin Murphy",2013
"Ride the Cyclone","Brooke Maxwell & Jacob Richmond","Brooke Maxwell & Jacob Richmond","Brooke Maxwell & Jacob Richmond",2008
"Killer Party","Jason Howland","Nathan Tysen","Rachel Axler & Kait Kerrigan",2020
"Be More Chill","Joe Iconis","Joe Iconis","Joe Tracz",2015
"Natasha, Pierre & The Great Comet of 1812","Dave Malloy","Dave Malloy","Dave Malloy",2012
"The Trail to Oregon!","Jeff Blim","Jeff Blim","Nick Lang, Matt Lang & Jeff Blim",2014
"Black Friday","Jeff Blim","Jeff Blim","Nick Lang & Matt Lang",2019
"Firebringer","Meredith Stepien & Mark Swiderski","Meredith Stepien & Mark Swiderski","Nick Lang, Matt Lang & Brian Holden",2016
"Amélie","Daniel Messé","Nathan Tysen & Daniel Messé","Craig Lucas",2015
"Bloody Bloody Andrew Jackson","Michael Friedman","Michael Friedman","Alex Timbers",2008
"Six","Toby Marlow & Lucy Moss","Toby Marlow & Lucy Moss","Toby Marlow & Lucy Moss",2017
"& Juliet","Max Martin & various artists","Max Martin & various artists","David West Read",2019
"Spamalot","John Du Prez & Eric Idle","Eric Idle","Eric Idle",2004
"Come From Away","Irene Sankoff & David Hein","Irene Sankoff & David Hein","Irene Sankoff & David Hein",2015
"Legally Blonde","Laurence O'Keefe & Nell Benjamin","Laurence O'Keefe & Nell Benjamin","Heather Hach",2007
"Wicked","Stephen Schwartz","Stephen Schwartz","Winnie Holzman",2003
"Mamma Mia!","Benny Andersson & Björn Ulvaeus","Benny Andersson & Björn Ulvaeus","Catherine Johnson",1999
"36 Questions","Louis Maley & Brett Ryback","Louis Maley & Brett Ryback","Louis Maley & Brett Ryback",2017
"Bare: A Pop Opera","Damon Intrabartolo","Jon Hartmere","Jon Hartmere & Damon Intrabartolo",2000
"The Phantom of the Opera","Andrew Lloyd Webber","Charles Hart & Richard Stilgoe","Richard Stilgoe & Andrew Lloyd Webber",1986
"Into the Woods","Stephen Sondheim","Stephen Sondheim","James Lapine",1986
"Cats","Andrew Lloyd Webber","T. S. Eliot & Trevor Nunn","T. S. Eliot (poems)",1981
"Sweeney Todd: The Demon Barber of Fleet Street","Stephen Sondheim","Stephen Sondheim","Hugh Wheeler",1979
"Gentlemen Prefer Blondes","Jule Styne","Leo Robin","Joseph Fields & Anita Loos",1949
"The Sound of Music","Richard Rodgers","Oscar Hammerstein II","Howard Lindsay & Russel Crouse",1959
"Funny Girl","Jule Styne","Bob Merrill","Isobel Lennart",1964
"Ordinary Days","Adam Gwon","Adam Gwon","Adam Gwon",2008
"Oh, Hello on Broadway","N/A","N/A","Nick Kroll & John Mulaney",2016
"Hadestown","Anaïs Mitchell","Anaïs Mitchell","Anaïs Mitchell",2006
"Grease","Jim Jacobs & Warren Casey","Jim Jacobs & Warren Casey","Jim Jacobs & Warren Casey",1971
"Rent","Jonathan Larson","Jonathan Larson","Jonathan Larson",1994
"West Side Story","Leonard Bernstein","Stephen Sondheim","Arthur Laurents",1957
"Assassins","Stephen Sondheim","Stephen Sondheim","John Weidman",1990
"The Lightning Thief: The Percy Jackson Musical","Rob Rokicki","Rob Rokicki","Joe Tracz",2014
"Little Miss Perfect","Joriah Kwamé","Joriah Kwamé","N/A (Canzone)",2019
"How to Succeed in Business Without Really Trying","Frank Loesser","Frank Loesser","Abe Burrows, Jack Weinstock, & Willie Gilbert",1961
"Bye Bye Birdie","Charles Strouse","Lee Adams","Michael Stewart",1960
"A Very Potter Musical","Darren Criss & A.J. Holmes","Darren Criss & A.J. Holmes","Matt Lang, Nick Lang & Brian Holden",2009
"Matilda the Musical","Tim Minchin","Tim Minchin","Dennis Kelly",2010
"Annie","Charles Strouse","Martin Charnin","Thomas Meehan",1976
"Footloose","Tom Snow","Dean Pitchford","Dean Pitchford & Walter Bobbie",1998
"A Very Potter Sequel","Darren Criss","Darren Criss","Matt Lang, Nick Lang & Brian Holden",2010
"A Very Potter Senior Year","Darren Criss & Clark Baxtresser","Darren Criss & Clark Baxtresser","Matt Lang, Nick Lang & Brian Holden",2012
"Les Misérables","Claude-Michel Schönberg","Alain Boublil & Herbert Kretzmer","Alain Boublil & Claude-Michel Schönberg",1980
"In The Heights","Lin-Manuel Miranda","Lin-Manuel Miranda","Quiara Alegría Hudes",2005
"Jesus Christ Superstar","Andrew Lloyd Webber","Tim Rice","Tim Rice",1970
"Something Rotten!","Wayne Kirkpatrick & Karey Kirkpatrick","Wayne Kirkpatrick & Karey Kirkpatrick","Karey Kirkpatrick & John O'Farrell",2015
"Falsettos","William Finn","William Finn","William Finn & James Lapine",1992
"Seussical","Stephen Flaherty","Lynn Ahrens","Lynn Ahrens & Stephen Flaherty",2000
"Tick, Tick... Boom!","Jonathan Larson","Jonathan Larson","Jonathan Larson & David Auburn",1990
"The Wizard of Oz","Harold Arlen","E.Y. Harburg","Noel Langley, Florence Ryerson & Edgar Allan Woolf",1939
"Oliver!","Lionel Bart","Lionel Bart","Lionel Bart",1960
"Cabaret","John Kander","Fred Ebb","Joe Masteroff",1966
"Twisted: The Untold Story of a Royal Vizier","A.J. Holmes & Kaley McMahon","Kaley McMahon","Nick Lang, Matt Lang & Eric Kahn Gale",2013
"Frozen (Broadway)","Kristen Anderson-Lopez & Robert Lopez","Kristen Anderson-Lopez & Robert Lopez","Jennifer Lee",2017
"The Hunchback of Notre Dame","Alan Menken","Stephen Schwartz","Peter Parnell",1999
"Moulin Rouge! The Musical","Various Artists","Various Artists","John Logan",2018
"Chicago","John Kander","Fred Ebb","Fred Ebb & Bob Fosse",1975
"Joseph and the Amazing Technicolor Dreamcoat","Andrew Lloyd Webber","Tim Rice","Tim Rice",1968
"The SpongeBob Musical","Various Artists","Various Artists","Kyle Jarrow",2016
"Moby Dick","Starkid (Various)","Starkid (Various)","Starkid (Various)",2019
"Wonderland","Frank Wildhorn","Jack Murphy","Jack Murphy & Gregory Boyd",2009
"Beetlejuice","Eddie Perfect","Eddie Perfect","Scott Brown & Anthony King",2018
